lat	lon	ele
45.597908	6.751314	919.8
45.59784	6.751272	919.8
45.597772	6.751227	919.8
45.597635	6.751134	919.8
45.597565	6.751086	919.8
45.597496	6.751046	919.8
45.597426	6.751007	918.8
45.597283	6.750934	918.8
45.59721	6.750897	918.8
45.597141	6.750858	918.8
45.597071	6.750818	918.8
45.596931	6.750745	918.8
45.59686	6.750706	918.8
45.596789	6.750669	918.8
45.596718	6.750631	918.8
45.596577	6.750558	918.8
45.596508	6.750522	918.8
45.596436	6.750489	918.8
45.596364	6.750457	918.8
45.596222	6.750384	918.8
45.596152	6.750348	918.8
45.596082	6.750311	917.8
45.596011	6.750275	917.8
45.595871	6.750197	917.8
45.5958	6.750156	917.8
45.595731	6.750116	917.8
45.59566	6.750076	917.8
45.595521	6.749992	917.8
45.595453	6.74995	917.8
45.595383	6.749909	917.8
45.595314	6.749867	917.8
45.595175	6.749785	917.8
45.595105	6.749746	917.8
45.595036	6.749708	917.8
45.594966	6.749667	916.8
45.594829	6.749587	916.8
45.594758	6.749544	916.8
45.59469	6.749501	916.8
45.594621	6.749463	916.8
45.594486	6.749383	916.8
45.594422	6.749343	916.8
45.594353	6.749301	916.8
45.594288	6.749257	916.8
45.594155	6.749167	916.8
45.59409	6.749119	916.8
45.594025	6.749071	916.8
45.593959	6.749024	916.8
45.593831	6.748928	916.8
45.593767	6.748881	916.8
45.593701	6.748832	915.8
45.593635	6.748784	915.8
45.593503	6.748687	915.8
45.593438	6.748642	915.8
45.593373	6.748601	915.8
45.593304	6.74856	915.8
45.593166	6.748493	915.8
45.593096	6.748462	915.8
45.593026	6.748434	915.8
45.592956	6.748405	915.8
45.592816	6.748344	915.8
45.592746	6.748315	915.8
45.592677	6.748284	915.8
45.592608	6.748253	915.8
45.592474	6.748186	915.8
45.592408	6.748153	915.8
45.592343	6.748116	914.8
45.592277	6.748078	914.8
45.592149	6.747999	914.8
45.592086	6.747956	914.8
45.592023	6.747912	914.8
45.59196	6.747867	914.8
45.591837	6.74778	914.8
45.591775	6.747737	914.8
45.591712	6.747693	914.8
45.59165	6.747654	914.8
45.591522	6.747567	914.8
45.591457	6.747526	914.8
45.591392	6.747489	914.8
45.591326	6.747453	914.8
45.591193	6.747382	914.8
45.591125	6.74735	914.8
45.591059	6.747318	914.8
45.590993	6.747287	914.8
45.590858	6.747226	914.8
45.59079	6.747193	914.8
45.590722	6.74716	914.8
45.590654	6.747128	914.8
45.590518	6.747063	914.8
45.59045	6.74703	914.8
45.590383	6.746997	914.8
45.590317	6.746969	914.8
45.590182	6.746908	914.8
45.590115	6.746879	914.8
45.590048	6.746853	914.8
45.589981	6.746824	914.8
45.589845	6.746774	914.8
45.589775	6.746759	913.6
45.589707	6.746738	913.6
45.589637	6.746726	913.6
45.589493	6.746703	913.6
45.589421	6.7467	913.6
45.589351	6.746695	913.6
45.58928	6.746691	913.6
45.589136	6.746689	913.6
45.589065	6.746691	913.6
45.588993	6.746695	913.6
45.58892	6.746699	912.6
45.588777	6.746701	912.6
45.588709	6.746697	912.6
45.588637	6.746685	912.6
45.588569	6.746677	912.6
45.588434	6.746648	912.6
45.588366	6.74663	912.6
45.5883	6.746614	912.6
45.588233	6.746594	912.6
45.588104	6.746545	911.6
45.588041	6.746517	911.6
45.587977	6.746487	911.6
45.587913	6.746461	911.6
45.587788	6.746398	911.6
45.587726	6.746363	911.6
45.587665	6.746327	911.6
45.587606	6.746288	911.6
45.587491	6.746208	911.6
45.587435	6.746166	911.6
45.587379	6.746119	911.6
45.587326	6.746068	911.6
45.587214	6.745971	911.6
45.58716	6.745917	911.6
45.587106	6.745869	911.6
45.587051	6.745819	911.6
45.586943	6.745718	911.6
45.586888	6.745666	911.6
45.586827	6.745603	911.6
45.586772	6.74555	911.6
45.586659	6.745436	911.6
45.586601	6.745378	911.6
45.586545	6.745318	911.6
45.586488	6.745254	911.6
45.586378	6.745121	911.6
45.586325	6.74506	911.6
45.586272	6.744989	911.6
45.586217	6.744911	911.6
45.586111	6.744757	911.6
45.586058	6.744679	911.6
45.586006	6.744603	911.6
45.585955	6.744525	911.6
45.58585	6.744367	911.6
45.5858	6.744293	911.6
45.585751	6.744218	911.6
45.585698	6.744138	911.6
45.585597	6.743988	911.6
45.585547	6.743912	911.6
45.585495	6.743834	911.6
45.585445	6.743757	911.6
45.58534	6.743603	911.6
45.585291	6.743524	911.6
45.585243	6.743446	911.6
45.585194	6.74337	911.6
45.585094	6.743218	911.6
45.585047	6.743149	911.6
45.585	6.743073	911.6
45.58495	6.743	911.6
45.584852	6.742857	910.6
45.584803	6.742787	910.6
45.584754	6.742718	910.6
45.584706	6.74265	910.6
45.584604	6.742505	910.6
45.58455	6.742439	910.6
45.584503	6.74237	910.6
45.584455	6.742301	910.6
45.584361	6.742176	910.6
45.584312	6.742107	910.6
45.584264	6.742048	910.6
45.584218	6.741982	910.6
45.584131	6.741853	910.6
45.584086	6.741786	910.6
45.58404	6.741713	910.6
45.583996	6.741646	910.6
45.583914	6.741499	910.6
45.583877	6.741424	911.6
45.583843	6.741348	911.6
45.583809	6.741268	911.6
45.583744	6.741114	911.6
45.583711	6.741033	911.6
45.583677	6.740952	911.6
45.583643	6.74087	911.6
45.583575	6.740699	911.6
45.583539	6.740612	911.6
45.583504	6.740525	912.8
45.583467	6.740441	912.8
45.583389	6.740269	912.8
45.583345	6.740184	912.8
45.583298	6.740096	912.8
45.583248	6.740006	912.8
45.583134	6.739829	912.8
45.583075	6.739739	912.8
45.583016	6.739653	912.8
45.582956	6.739566	912.8
45.582829	6.739405	912.8
45.582765	6.739324	912.8
45.5827	6.73924	912.8
45.582633	6.739159	912.8
45.582502	6.738992	912.8
45.582438	6.738908	911.6
45.582374	6.738825	911.6
45.582311	6.738735	911.6
45.58218	6.738567	911.6
45.582119	6.73849	910.2
45.582053	6.738404	910.2
45.581985	6.738318	910.2
45.581847	6.738139	909
45.581778	6.738047	909
45.581707	6.737954	909
45.581632	6.73786	907.6
45.581514	6.737721	907.6
45.581396	6.737583	907.6
45.58132	6.737517	906.2
45.58124	6.737446	906.2
45.581115	6.737342	906.2
45.580989	6.737239	904.8
45.580903	6.737173	904.8
45.580818	6.737111	904.8
45.580652	6.736987	903.4
45.580568	6.736923	903.4
45.580485	6.736858	902.2
45.5804	6.736788	902.2
45.580239	6.736644	901.2
45.580159	6.736566	901.2
45.580078	6.73648	900
45.58	6.736394	900
45.579847	6.736223	899
45.579773	6.73614	899
45.579697	6.736051	897.8
45.579622	6.735966	897.8
45.579472	6.735796	896.8
45.579397	6.735706	896.8
45.579323	6.735615	895.6
45.57925	6.735528	895.6
45.57914	6.735379	894.4
45.579029	6.735231	894.4
45.578959	6.735132	893.2
45.578894	6.735025	893.2
45.578773	6.734812	892.2
45.57871	6.7347	892.2
45.578648	6.734588	892.2
45.578585	6.734469	890.8
45.578466	6.734245	890.8
45.578404	6.734131	890.8
45.578342	6.734017	889.2
45.578277	6.733905	889.2
45.578173	6.733742	889.2
45.578069	6.73358	887.8
45.577997	6.733479	887.8
45.577923	6.733377	886.8
45.577777	6.733183	886.8
45.577703	6.733082	886.8
45.577631	6.732982	885.2
45.57756	6.732883	885.2
45.577422	6.73268	885.2
45.577357	6.73257	884
45.577297	6.732461	884
45.577243	6.732344	884
45.577142	6.732112	882.6
45.577091	6.73199	882.6
45.577042	6.731871	882.6
45.576994	6.731752	881.4
45.576896	6.731519	881.4
45.576849	6.7314	881.4
45.576801	6.731283	880.2
45.576754	6.731169	880.2
45.576655	6.730931	880.2
45.576606	6.730815	879
45.576556	6.730699	879
45.576503	6.730589	879
45.576388	6.730365	877.4
45.576329	6.730259	877.4
45.576266	6.730149	877.4
45.576204	6.730044	876
45.576076	6.729818	876
45.576014	6.729714	875
45.575952	6.729609	875
45.575885	6.729491	874
45.575759	6.729277	874
45.575695	6.729164	872.8
45.575634	6.729057	872.8
45.575574	6.72895	871.8
45.575455	6.72874	871.8
45.575394	6.728634	870.6
45.575333	6.728541	870.6
45.575272	6.728436	869.6
45.575149	6.728219	869.6
45.575097	6.72813	868.6
45.575042	6.728018	868.6
45.57499	6.72791	868.6
45.574885	6.727688	867.4
45.57483	6.72757	867.4
45.574775	6.727456	867.4
45.57472	6.72734	866.2
45.574604	6.727116	866.2
45.574544	6.727007	866.2
45.57448	6.726901	865.2
45.574413	6.726799	865.2
45.574279	6.726607	865.2
45.57421	6.726515	864
45.574139	6.726427	864
45.574071	6.726341	864
45.573938	6.726156	863
45.573875	6.72606	863
45.573819	6.72596	863
45.573768	6.725859	863
45.573676	6.725641	861.8
45.573639	6.725533	861.8
45.573604	6.725425	861.8
45.573573	6.725318	861.8
45.573523	6.725101	861.8
45.573502	6.724987	860.8
45.573485	6.724871	860.8
45.57347	6.724753	860.8
45.573453	6.72452	860.8
45.573447	6.7244	860.8
45.57344	6.724281	860.8
45.573432	6.724162	860.8
45.573402	6.723922	860.8
45.573384	6.723808	859.8
45.57336	6.723698	859.8
45.573329	6.72359	859.8
45.573256	6.723386	859.8
45.573212	6.723283	859.8
45.573164	6.723186	859.8
45.573109	6.723095	859.8
45.572994	6.722925	859.8
45.572937	6.722841	859.8
45.57288	6.722759	859.8
45.572826	6.722677	859.8
45.572729	6.722497	859.8
45.572685	6.722408	859.8
45.572643	6.722318	859.8
45.572603	6.722224	859.8
45.572527	6.722033	859.8
45.57249	6.721935	859.8
45.572453	6.721837	858.6
45.572406	6.72173	858.6
45.572318	6.721534	858.6
45.57228	6.721464	858.6
45.572242	6.721395	858.6
45.572165	6.721257	858.6
45.572066	6.721081	858.6
45.572015	6.720992	858.6
45.571965	6.720906	858.6
45.571915	6.72082	858.6
45.571816	6.720641	858.6
45.571772	6.720553	858.6
45.571727	6.720462	858.6
45.571686	6.720371	858.6
45.571603	6.720184	858.6
45.571562	6.720088	858.6
45.57152	6.719993	858.6
45.571482	6.719897	858.6
45.5714	6.719709	857.6
45.57136	6.719613	857.6
45.571321	6.719518	857.6
45.571281	6.719425	857.6
